#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|./generated/sr__Keccak256__WELL512a_8Block_2Participant_4Polls_100000000.dat|  7.70e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.26945189|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.58097309|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.20737894|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.58295508|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.03327598|  PASSED  
        diehard_opso|   0|   2097152|     100|0.77126989|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.11658086|  PASSED  
         diehard_dna|   0|   2097152|     100|0.58240557|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.30138729|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.91164377|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.54399718|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.10468220|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.75751311|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.03677098|  PASSED  
        diehard_sums|   0|       100|     100|0.00183965|   WEAK   
        diehard_runs|   0|    100000|     100|0.81525068|  PASSED  
        diehard_runs|   0|    100000|     100|0.01648220|  PASSED  
       diehard_craps|   0|    200000|     100|0.06156299|  PASSED  
       diehard_craps|   0|    200000|     100|0.39463038|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.37217566|  PASSED  
            sts_runs|   2|    100000|     100|0.00503322|  PASSED  
          sts_serial|   1|    100000|     100|0.26260646|  PASSED  
          sts_serial|   2|    100000|     100|0.25193738|  PASSED  
          sts_serial|   3|    100000|     100|0.35424436|  PASSED  
          sts_serial|   3|    100000|     100|0.94988909|  PASSED  
          sts_serial|   4|    100000|     100|0.97908774|  PASSED  
          sts_serial|   4|    100000|     100|0.69282638|  PASSED  
          sts_serial|   5|    100000|     100|0.37037945|  PASSED  
          sts_serial|   5|    100000|     100|0.36449255|  PASSED  
          sts_serial|   6|    100000|     100|0.73767820|  PASSED  
          sts_serial|   6|    100000|     100|0.50725014|  PASSED  
          sts_serial|   7|    100000|     100|0.20138216|  PASSED  
          sts_serial|   7|    100000|     100|0.08101074|  PASSED  
          sts_serial|   8|    100000|     100|0.79093535|  PASSED  
          sts_serial|   8|    100000|     100|0.98102706|  PASSED  
          sts_serial|   9|    100000|     100|0.18169928|  PASSED  
          sts_serial|   9|    100000|     100|0.28195844|  PASSED  
          sts_serial|  10|    100000|     100|0.86838810|  PASSED  
          sts_serial|  10|    100000|     100|0.41639523|  PASSED  
          sts_serial|  11|    100000|     100|0.51540070|  PASSED  
          sts_serial|  11|    100000|     100|0.77415925|  PASSED  
          sts_serial|  12|    100000|     100|0.86172420|  PASSED  
          sts_serial|  12|    100000|     100|0.24055514|  PASSED  
          sts_serial|  13|    100000|     100|0.65095726|  PASSED  
          sts_serial|  13|    100000|     100|0.36623120|  PASSED  
          sts_serial|  14|    100000|     100|0.66162507|  PASSED  
