#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|./generated/default_well512_100000000.dat|  7.80e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.18448690|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.00136956|   WEAK   
      rgb_lagged_sum|  22|   1000000|     100|0.01647540|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00005132|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.00000002|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.03198285|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.53087420|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.14493854|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.17935964|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  30|   1000000|     100|0.45568574|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.05670230|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.28420651|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.19375488|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.91185651|  PASSED  
             dab_dct| 256|     50000|       1|0.11921707|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.85669544|  PASSED  
        dab_filltree|  32|  15000000|       1|0.56588008|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.43777463|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.79711717|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.90710202|  PASSED  
