#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|./generated/sr__Keccak256__WELL512a_10Block_2Participant_4Polls_100000000.dat|  7.68e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.15757943|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.98466743|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.28662299|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.57550933|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.65409284|  PASSED  
        diehard_opso|   0|   2097152|     100|0.90477406|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.54653736|  PASSED  
         diehard_dna|   0|   2097152|     100|0.99245388|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.94361815|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.90128873|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.46927986|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.91648877|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.83405617|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.99299448|  PASSED  
        diehard_sums|   0|       100|     100|0.06159212|  PASSED  
        diehard_runs|   0|    100000|     100|0.21826428|  PASSED  
        diehard_runs|   0|    100000|     100|0.66551376|  PASSED  
       diehard_craps|   0|    200000|     100|0.45813738|  PASSED  
       diehard_craps|   0|    200000|     100|0.47187685|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000001|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000011|  FAILED  
         sts_monobit|   1|    100000|     100|0.89073884|  PASSED  
            sts_runs|   2|    100000|     100|0.39652072|  PASSED  
          sts_serial|   1|    100000|     100|0.06398650|  PASSED  
          sts_serial|   2|    100000|     100|0.06929216|  PASSED  
          sts_serial|   3|    100000|     100|0.05892006|  PASSED  
          sts_serial|   3|    100000|     100|0.91490275|  PASSED  
          sts_serial|   4|    100000|     100|0.97029674|  PASSED  
          sts_serial|   4|    100000|     100|0.05539463|  PASSED  
          sts_serial|   5|    100000|     100|0.58750223|  PASSED  
          sts_serial|   5|    100000|     100|0.79983157|  PASSED  
          sts_serial|   6|    100000|     100|0.98853595|  PASSED  
          sts_serial|   6|    100000|     100|0.47435318|  PASSED  
          sts_serial|   7|    100000|     100|0.99971772|   WEAK   
          sts_serial|   7|    100000|     100|0.76223940|  PASSED  
          sts_serial|   8|    100000|     100|0.23485943|  PASSED  
          sts_serial|   8|    100000|     100|0.48812358|  PASSED  
          sts_serial|   9|    100000|     100|0.86015862|  PASSED  
          sts_serial|   9|    100000|     100|0.69248946|  PASSED  
          sts_serial|  10|    100000|     100|0.83120891|  PASSED  
          sts_serial|  10|    100000|     100|0.36461632|  PASSED  
          sts_serial|  11|    100000|     100|0.15319733|  PASSED  
          sts_serial|  11|    100000|     100|0.52356151|  PASSED  
          sts_serial|  12|    100000|     100|0.50465009|  PASSED  
          sts_serial|  12|    100000|     100|0.86050454|  PASSED  
          sts_serial|  13|    100000|     100|0.46354021|  PASSED  
          sts_serial|  13|    100000|     100|0.91713249|  PASSED  
          sts_serial|  14|    100000|     100|0.73250850|  PASSED  
          sts_serial|  14|    100000|     100|0.87262637|  PASSED  
          sts_serial|  15|    100000|     100|0.73612951|  PASSED  
          sts_serial|  15|    100000|     100|0.27263442|  PASSED  
          sts_serial|  16|    100000|     100|0.41424640|  PASSED  
          sts_serial|  16|    100000|     100|0.13148766|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.35181099|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.87812871|  PASSED  
