#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|./generated/sr__Keccak256__WELL512a_7Block_2Participant_4Polls_100000000.dat|  7.68e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.64359759|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.89595127|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.57110783|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.69405250|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.85896120|  PASSED  
        diehard_opso|   0|   2097152|     100|0.94516925|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.66926497|  PASSED  
         diehard_dna|   0|   2097152|     100|0.72965266|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.07480058|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.97223218|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.10932071|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64848578|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.20850477|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.56959793|  PASSED  
        diehard_sums|   0|       100|     100|0.10871550|  PASSED  
        diehard_runs|   0|    100000|     100|0.57448559|  PASSED  
        diehard_runs|   0|    100000|     100|0.30162593|  PASSED  
       diehard_craps|   0|    200000|     100|0.84874993|  PASSED  
       diehard_craps|   0|    200000|     100|0.61071564|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000004|  FAILED  
         sts_monobit|   1|    100000|     100|0.12422494|  PASSED  
            sts_runs|   2|    100000|     100|0.32045827|  PASSED  
          sts_serial|   1|    100000|     100|0.89555417|  PASSED  
          sts_serial|   2|    100000|     100|0.55178908|  PASSED  
          sts_serial|   3|    100000|     100|0.47045209|  PASSED  
          sts_serial|   3|    100000|     100|0.59943439|  PASSED  
          sts_serial|   4|    100000|     100|0.83282869|  PASSED  
          sts_serial|   4|    100000|     100|0.93829954|  PASSED  
          sts_serial|   5|    100000|     100|0.94164517|  PASSED  
          sts_serial|   5|    100000|     100|0.64549524|  PASSED  
          sts_serial|   6|    100000|     100|0.62741941|  PASSED  
          sts_serial|   6|    100000|     100|0.12964670|  PASSED  
          sts_serial|   7|    100000|     100|0.71847787|  PASSED  
          sts_serial|   7|    100000|     100|0.92183415|  PASSED  
          sts_serial|   8|    100000|     100|0.36257433|  PASSED  
          sts_serial|   8|    100000|     100|0.89841669|  PASSED  
          sts_serial|   9|    100000|     100|0.51720655|  PASSED  
          sts_serial|   9|    100000|     100|0.76400893|  PASSED  
          sts_serial|  10|    100000|     100|0.76787089|  PASSED  
          sts_serial|  10|    100000|     100|0.93968189|  PASSED  
          sts_serial|  11|    100000|     100|0.86030210|  PASSED  
