#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|./generated/sr__Keccak256__WELL512a_3Block_2Participant_4Polls_100000000.dat|  7.71e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.16862645|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.20326066|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.78368744|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.52075594|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.71028819|  PASSED  
        diehard_opso|   0|   2097152|     100|0.56895916|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.65643820|  PASSED  
         diehard_dna|   0|   2097152|     100|0.17419531|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.88136081|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.43550032|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.36905637|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.98845091|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.77721138|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.52198877|  PASSED  
        diehard_sums|   0|       100|     100|0.05006852|  PASSED  
        diehard_runs|   0|    100000|     100|0.95279705|  PASSED  
        diehard_runs|   0|    100000|     100|0.97719722|  PASSED  
       diehard_craps|   0|    200000|     100|0.88718485|  PASSED  
       diehard_craps|   0|    200000|     100|0.22330025|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.02728107|  PASSED  
            sts_runs|   2|    100000|     100|0.68951044|  PASSED  
          sts_serial|   1|    100000|     100|0.83194488|  PASSED  
          sts_serial|   2|    100000|     100|0.32651340|  PASSED  
          sts_serial|   3|    100000|     100|0.99343396|  PASSED  
          sts_serial|   3|    100000|     100|0.99605097|   WEAK   
          sts_serial|   4|    100000|     100|0.28660277|  PASSED  
          sts_serial|   4|    100000|     100|0.14008148|  PASSED  
          sts_serial|   5|    100000|     100|0.34103844|  PASSED  
