#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
     file_input|./generated/sr__Keccak256__WELL512a_9Block_2Participant_4Polls_100000000.dat|  7.69e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  20|   1000000|     100|0.67319382|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.08548384|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.94522279|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.00045958|   WEAK   
      rgb_lagged_sum|  24|   1000000|     100|0.00000437|   WEAK   
      rgb_lagged_sum|  25|   1000000|     100|0.08501952|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.97504608|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.00711149|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.94866212|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.13305819|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.61130968|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.68751600|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.74954558|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00017524|   WEAK   
             dab_dct| 256|     50000|       1|0.20951438|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.70241243|  PASSED  
        dab_filltree|  32|  15000000|       1|0.61475889|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.79589087|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.96532122|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.98429690|  PASSED  
8348 seconds costs for Dieharder -a -g 202
